BANNER,LOINC #,Long Common Name,CLASS,Class Override,Rank,Example UCUM,Example UCUM Display,Comments,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,System Adjusted,GROUP,
,5096-3,Coccidioides immitis Ab [Titer] in Serum by Complement fixation,MICRO,Micro,1741,{titer},titer,,Coccidioides immitis Ab,Titr,Pt,Ser,Qn,Comp fix,Any,Coccidioides immitis Ab,
,13947-7,Coccidioides immitis IgG Ab [Presence] in Serum by Immunoassay,MICRO,Micro,1564,,,,Coccidioides immitis Ab.IgG,ACnc,Pt,Ser,Ord,EIA,Any,Coccidioides immitis IgG Ab,
,13948-5,Coccidioides immitis IgM Ab [Presence] in Serum by Immunoassay,MICRO,Micro,1567,,,,Coccidioides immitis Ab.IgM,ACnc,Pt,Ser,Ord,EIA,Any,Coccidioides immitis IgM Ab,
,5116-9,Corynebacterium diphtheriae Ab [Units/volume] in Serum by Immunoassay,MICRO,Micro,1849,{index},index,,Corynebacterium diphtheriae Ab,ACnc,Pt,Ser,Qn,EIA,Any,Corynebacterium diphtheriae Ab,
,13227-4,Corynebacterium diphtheriae IgG Ab [Units/volume] in Serum,MICRO,Micro,1712,{index},index,,Corynebacterium diphtheriae Ab.IgG,ACnc,Pt,Ser,Qn,,Any,Corynebacterium diphtheriae IgG Ab,
,58787-3,Corynebacterium diphtheriae IgG Ab [Units/volume] in Serum by Immunoassay,MICRO,Micro,1713,{index},index,,Corynebacterium diphtheriae Ab.IgG,ACnc,Pt,Ser,Qn,EIA,Any,Corynebacterium diphtheriae IgG Ab,
,31788-3,Cryptococcus sp Ag [Presence] in Cerebral spinal fluid,MICRO,Micro,1707,,,,Cryptococcus sp Ag,ACnc,Pt,CSF,Ord,,Any,Cryptococcus neoformans Ag,
,9820-2,Cryptococcus sp Ag [Titer] in Serum by Latex agglutination,MICRO,Micro,1432,{titer},titer,,Cryptococcus sp Ag,Titr,Pt,Ser,Qn,LA,Any,Cryptococcus neoformans Ag,
,41487-0,Cryptosporidium parvum Ag [Presence] in Stool by Immunoassay,MICRO,Micro,1772,,,,Cryptosporidium parvum Ag,ACnc,Pt,Stool,Ord,EIA,Any,Cryptosporidium parvum Ag,
,20781-1,Cryptosporidium sp [Presence] in Stool by Acid fast stain,MICRO,Micro,1899,,,,Cryptosporidium sp,ACnc,Pt,Stool,Ord,Acid fast stain,Any,Cryptosporidium sp,
,31797-4,Cytomegalovirus Ag [Presence] in Unspecified specimen,MICRO,Micro,1300,,,,Cytomegalovirus Ag,ACnc,Pt,XXX,Ord,,Any,CMV Ag,
,6379-2,Cytomegalovirus Ag [Presence] in Unspecified specimen by Immunoassay,MICRO,Micro,1301,,,,Cytomegalovirus Ag,ACnc,Pt,XXX,Ord,EIA,Any,CMV Ag,
,30247-1,Cytomegalovirus DNA [#/volume] (viral load) in Serum or Plasma by Probe & target amplification method,MICRO,Micro,1490,{copies}/mL,copies/mL,,Cytomegalovirus DNA,NCnc,Pt,Ser/Plas,Qn,Probe.amp.tar,Any,CMV DNA,
,33006-8,Cytomegalovirus DNA [#/volume] (viral load) in Unspecified specimen by Probe & target amplification method,MICRO,Micro,1006,{copies}/mL,copies/mL,,Cytomegalovirus DNA,NCnc,Pt,XXX,Qn,Probe.amp.tar,Any,CMV DNA,
,28008-1,Cytomegalovirus DNA [Presence] in Blood by Probe & signal amplification method,MICRO,Micro,915,,,,Cytomegalovirus DNA,ACnc,Pt,Bld,Ord,Probe.amp.sig,Any,,
,5000-5,Cytomegalovirus DNA [Presence] in Unspecified specimen by Probe & target amplification method,MICRO,Micro,1687,,,,Cytomegalovirus DNA,ACnc,Pt,XXX,Ord,Probe.amp.tar,Any,CMV DNA,
,20475-0,Cytomegalovirus IgG Ab [interpretation] in Serum,MICRO,Micro,1004,,,,Cytomegalovirus Ab.IgG,Imp,Pt,Ser,Nom,,Any,CMV IgG Ab,
,5124-3,Cytomegalovirus IgG Ab [Units/volume] in Serum by Immunoassay,MICRO,Micro,673,{index},index,,Cytomegalovirus Ab.IgG,ACnc,Pt,Ser,Qn,EIA,Any,CMV IgG Ab,
,24119-0,Cytomegalovirus IgM Ab [Presence] in Serum by Immunoassay,MICRO,Micro,1561,,,,Cytomegalovirus Ab.IgM,ACnc,Pt,Ser,Ord,EIA,Any,CMV IgM Ab,
,49539-0,Cytomegalovirus IgM Ab [Presence] in Serum by Immunofluorescence,MICRO,Micro,1158,,,,Cytomegalovirus Ab.IgM,ACnc,Pt,Ser,Ord,IF,Any,CMV IgM Ab,
,5127-6,Cytomegalovirus IgM Ab [Titer] in Serum by Immunofluorescence,MICRO,Micro,1160,{titer},titer,,Cytomegalovirus Ab.IgM,Titr,Pt,Ser,Qn,IF,Any,CMV IgM Ab,
,5126-8,Cytomegalovirus IgM Ab [Units/volume] in Serum by Immunoassay,MICRO,Micro,968,{index},index,,Cytomegalovirus Ab.IgM,ACnc,Pt,Ser,Qn,EIA,Any,CMV IgM Ab,
,9783-2,Ehrlichia chaffeensis IgG Ab [Titer] in Serum,MICRO,Micro,1194,{titer},titer,,Ehrlichia chaffeensis Ab.IgG,Titr,Pt,Ser,Qn,,Any,Ehrlichia chaffeensis IgG Ab,
,9784-0,Ehrlichia chaffeensis IgM Ab [Titer] in Serum,MICRO,Micro,1222,{titer},titer,,Ehrlichia chaffeensis Ab.IgM,Titr,Pt,Ser,Qn,,Any,Ehrlichia chaffeensis IgM Ab,
,29591-5,Enterovirus RNA [Presence] in Unspecified specimen by Probe & target amplification method,MICRO,Micro,1922,,,,Enterovirus RNA,ACnc,Pt,XXX,Ord,Probe.amp.tar,Any,Enterovirus RNA,
,30339-6,Epstein Barr virus capsid IgG Ab [Presence] in Serum,MICRO,Micro,1304,,,,Epstein Barr virus capsid Ab.IgG,ACnc,Pt,Ser,Ord,,Any,EBV capsid IgG Ab,
,24114-1,Epstein Barr virus capsid IgG Ab [Presence] in Serum by Immunoassay,MICRO,Micro,1305,,,,Epstein Barr virus capsid Ab.IgG,ACnc,Pt,Ser,Ord,EIA,Any,EBV capsid IgG Ab,
,40750-2,Epstein Barr virus capsid IgG Ab [Presence] in Serum by Immunofluorescence,MICRO,Micro,1023,,,,Epstein Barr virus capsid Ab.IgG,ACnc,Pt,Ser,Ord,IF,Any,EBV capsid IgG Ab,
,5158-1,Epstein Barr virus capsid IgG Ab [Titer] in Serum by Immunofluorescence,MICRO,Micro,1055,{titer},titer,,Epstein Barr virus capsid Ab.IgG,Titr,Pt,Ser,Qn,IF,Any,EBV capsid IgG Ab,
,7885-7,Epstein Barr virus capsid IgG Ab [Units/volume] in Serum,MICRO,Micro,606,{index},index,,Epstein Barr virus capsid Ab.IgG,ACnc,Pt,Ser,Qn,,Any,EBV capsid IgG Ab,
,5157-3,Epstein Barr virus capsid IgG Ab [Units/volume] in Serum by Immunoassay,MICRO,Micro,607,,,,Epstein Barr virus capsid Ab.IgG,ACnc,Pt,Ser,Qn,EIA,Any,EBV capsid IgG Ab,
,30340-4,Epstein Barr virus capsid IgM Ab [Presence] in Serum,MICRO,Micro,1283,,,,Epstein Barr virus capsid Ab.IgM,ACnc,Pt,Ser,Ord,,Any,EBV capsid IgM Ab,
,24115-8,Epstein Barr virus capsid IgM Ab [Presence] in Serum by Immunoassay,MICRO,Micro,1284,,,,Epstein Barr virus capsid Ab.IgM,ACnc,Pt,Ser,Ord,EIA,Any,EBV capsid IgM Ab,
,5160-7,Epstein Barr virus capsid IgM Ab [Titer] in Serum by Immunofluorescence,MICRO,Micro,1111,{titer},titer,,Epstein Barr virus capsid Ab.IgM,Titr,Pt,Ser,Qn,IF,Any,EBV capsid IgM Ab,
,7886-5,Epstein Barr virus capsid IgM Ab [Units/volume] in Serum,MICRO,Micro,603,{titer},titer,,Epstein Barr virus capsid Ab.IgM,ACnc,Pt,Ser,Qn,,Any,EBV capsid IgM Ab,
,5159-9,Epstein Barr virus capsid IgM Ab [Units/volume] in Serum by Immunoassay,MICRO,Micro,604,{index},index,,Epstein Barr virus capsid Ab.IgM,ACnc,Pt,Ser,Qn,EIA,Any,,
,32585-2,Epstein Barr virus DNA [#/volume] (viral load) in Unspecified specimen by Probe & target amplification method,MICRO,Micro,1467,{copies}/mL,copies/mL,,Epstein Barr virus DNA,NCnc,Pt,XXX,Qn,Probe.amp.tar,Any,EBV DNA,
,5005-4,Epstein Barr virus DNA [Presence] in Unspecified specimen by Probe & target amplification method,MICRO,Micro,1832,,,,Epstein Barr virus DNA,ACnc,Pt,XXX,Ord,Probe.amp.tar,Any,EBV DNA,
,14083-0,Epstein Barr virus early Ab [Titer] in Serum by Immunofluorescence,MICRO,Micro,1584,{titer},titer,,Epstein Barr virus early Ab,Titr,Pt,Ser,Qn,IF,Any,EBV early Ab,
,40752-8,Epstein Barr virus early IgG Ab [Presence] in Serum by Immunoassay,MICRO,Micro,714,,,,Epstein Barr virus early Ab.IgG,ACnc,Pt,Ser,Qn,,Any,EBV early IgG Ab,
,56598-6,Epstein Barr virus early IgM Ab [Units/volume] in Serum by Immunoassay,MICRO,Micro,250,,,,Epstein Barr virus early Ab.IgM,ACnc,Pt,Ser,Qn,EIA,Any,,
,22296-8,Epstein Barr virus nuclear Ab [Presence] in Serum,MICRO,Micro,1436,,,,Epstein Barr virus nuclear Ab,ACnc,Pt,Ser,Ord,,Any,EBV nuclear Ab,
,22297-6,Epstein Barr virus nuclear Ab [Titer] in Serum,MICRO,Micro,1540,{titer},titer,,Epstein Barr virus nuclear Ab,Titr,Pt,Ser,Qn,,Any,EBV nuclear Ab,
,21260-5,Epstein Barr virus nuclear Ab [Titer] in Serum by Immunofluorescence,MICRO,Micro,1483,{titer},titer,,Epstein Barr virus nuclear Ab,Titr,Pt,Ser,Qn,IF,Any,EBV nuclear Ab,
,7883-2,Epstein Barr virus nuclear IgG Ab [Presence] in Serum,MICRO,Micro,1587,,,,Epstein Barr virus nuclear Ab.IgG,ACnc,Pt,Ser,Ord,,Any,EBV nuclear IgG Ab,
,5156-5,Epstein Barr virus nuclear IgG Ab [Presence] in Serum by Immunoassay,MICRO,Micro,2013,,,,Epstein Barr virus nuclear Ab.IgG,ACnc,Pt,Ser,Ord,EIA,Any,EBV nuclear IgG Ab,
,31374-2,Epstein Barr virus nuclear IgG Ab [Units/volume] in Serum,MICRO,Micro,698,{index},index,,Epstein Barr virus nuclear Ab.IgG,ACnc,Pt,Ser,Qn,,Any,EBV nuclear IgG Ab,
,30083-0,Epstein Barr virus nuclear IgG Ab [Units/volume] in Serum by Immunoassay,MICRO,Micro,699,[IU]/mL,IU/mL,,Epstein Barr virus nuclear Ab.IgG,ACnc,Pt,Ser,Qn,EIA,Any,EBV nuclear IgG Ab,
,21262-1,Escherichia coli shiga-like [Presence] in Stool by Immunoassay,MICRO,Micro,589,,,,Escherichia coli shiga-like,ACnc,Pt,Stool,Ord,EIA,Any,E coli shiga-like,
,21003-9,Fungus identified in Unspecified specimen by Fungus stain,MICRO,Micro,825,,,,Fungus identified,Prid,Pt,XXX,Nom,Fungus stain,Any,,
,35383-9,Galactomannan Ag [Units/volume] in Serum or Plasma,MICRO,Micro,961,{index},index,Used to diagnose invasive aspergillosis.,Galactomannan Ag,ACnc,Pt,Ser/Plas,Qn,,Any,,
,44357-2,Galactomannan Ag [Units/volume] in Serum or Plasma by Immunoassay,MICRO,Micro,582,{index},index,,Galactomannan Ag,ACnc,Pt,Ser/Plas,Qn,EIA,Any,,
,6410-5,Gardnerella vaginalis rRNA [Presence] in Genital specimen by DNA probe,MICRO,Micro,583,,,,Gardnerella vaginalis rRNA,ACnc,Pt,Genital,Ord,Probe,Any,,
,6412-1,Giardia lamblia Ag [Presence] in Stool by Immunoassay,MICRO,Micro,819,,,,Giardia lamblia Ag,ACnc,Pt,Stool,Ord,EIA,Any,Giardia lamblia Ag,
,29559-2,Haemophilus ducreyi DNA [Presence] in Unspecified specimen by Probe & target amplification method,MICRO,Micro,1938,,,,Haemophilus ducreyi DNA,ACnc,Pt,XXX,Ord,Probe.amp.tar,Any,H ducreyi DNA,
,29891-9,Helicobacter pylori [Presence] in Stomach by urea breath test,MICRO,Micro,494,,,,Carbon dioxide^post dose urea,ACnc,Pt,Exhl gas,Ord,,Any,,
,22310-7,Helicobacter pylori Ab [Presence] in Serum,MICRO,Micro,1078,,,,Helicobacter pylori Ab,ACnc,Pt,Ser,Ord,,Any,H Pylori Ab,
,7900-4,Helicobacter pylori Ab [Units/volume] in Serum,MICRO,Micro,737,{index},index,,Helicobacter pylori Ab,ACnc,Pt,Ser,Qn,,Any,H Pylori Ab,
,31843-6,Helicobacter pylori Ag [Presence] in Stool,MICRO,Micro,1708,,,,Helicobacter pylori Ag,ACnc,Pt,Stool,Ord,,Any,,
,17780-8,Helicobacter pylori Ag [Presence] in Stool by Immunoassay,MICRO,Micro,949,,,,Helicobacter pylori Ag,ACnc,Pt,Stool,Ord,EIA,Any,Helicobacter pylori Ag,
,7901-2,Helicobacter pylori IgA Ab [Units/volume] in Serum,MICRO,Micro,1811,,,,Helicobacter pylori Ab.IgA,ACnc,Pt,Ser,Qn,,Any,H Pylori IgA Ab,
,6420-4,Helicobacter pylori IgA Ab [Units/volume] in Serum by Immunoassay,MICRO,Micro,599,{index},index,,Helicobacter pylori Ab.IgA,ACnc,Pt,Ser,Qn,EIA,Any,H Pylori IgA Ab,
,16126-5,Helicobacter pylori IgG Ab [Presence] in Serum,MICRO,Micro,1029,,,,Helicobacter pylori Ab.IgG,ACnc,Pt,Ser,Ord,,Any,H Pylori IgG Ab,
,17859-0,Helicobacter pylori IgG Ab [Presence] in Serum by Immunoassay,MICRO,Micro,747,,,,Helicobacter pylori Ab.IgG,ACnc,Pt,Ser,Ord,EIA,Any,H Pylori IgG Ab,
,7902-0,Helicobacter pylori IgG Ab [Units/volume] in Serum,MICRO,Micro,1521,,,,Helicobacter pylori Ab.IgG,Acnc,Pt,Ser,Qn,,Any,H Pylori IgG Ab,
,5176-3,Helicobacter pylori IgG Ab [Units/volume] in Serum by Immunoassay,MICRO,Micro,439,{index},index,,Helicobacter pylori Ab.IgG,ACnc,Pt,Ser,Qn,EIA,Any,H Pylori IgG Ab,
,5177-1,Helicobacter pylori IgM Ab [Units/volume] in Serum by Immunoassay,MICRO,Micro,830,{index},index,,Helicobacter pylori Ab.IgM,ACnc,Pt,Ser,Qn,EIA,Any,H Pylori IgM Ab,
,13951-9,Hepatitis A virus Ab [Presence] in Serum by Immunoassay,MICRO,Micro,558,,,,Hepatitis A virus Ab,ACnc,Pt,Ser,Ord,EIA,Any,HAV Ab,
,5183-9,Hepatitis A virus Ab [Units/volume] in Serum by Immunoassay,MICRO,Micro,1176,{index},index,,Hepatitis A virus Ab,ACnc,Pt,Ser,Qn,EIA,Any,HAV Ab,
,22314-9,Hepatitis A virus IgM Ab [Presence] in Serum,MICRO,Micro,724,,,,Hepatitis A virus Ab.IgM,Acnc,Pt,Ser,Ord,,Any,HAV IgM Ab,
,13950-1,Hepatitis A virus IgM Ab [Presence] in Serum by Immunoassay,MICRO,Micro,319,,,,Hepatitis A virus Ab.IgM,ACnc,Pt,Ser,Ord,EIA,Any,HAV IgM Ab,
,22315-6,Hepatitis A virus IgM Ab [Units/volume] in Serum,MICRO,Micro,1803,,,,Hepatitis A virus Ab.IgM,ACnc,Pt,Ser,Qn,,Any,HAV IgM Ab,
,5181-3,Hepatitis A virus IgM Ab [Units/volume] in Serum by Immunoassay,MICRO,Micro,1085,{index},index,,Hepatitis A virus Ab.IgM,ACnc,Pt,Ser,Qn,EIA,Any,HAV IgM Ab,
,13952-7,Hepatitis B virus core Ab [Presence] in Serum by Immunoassay,MICRO,Micro,478,,,,Hepatitis B virus core Ab,ACnc,Pt,Ser,Ord,EIA,Any,HBV core Ab,
,47440-3,Hepatitis B virus core Ab [Presence] in Serum from donor,MICRO,Micro,1671,,,,Hepatitis B virus core Ab,ACnc,Pt,Ser^donor,Ord,,Any,HBV,
,5187-0,Hepatitis B virus core Ab [Units/volume] in Serum by Immunoassay,MICRO,Micro,989,{index},index,,Hepatitis B virus core Ab,ACnc,Pt,Ser,Qn,EIA,Any,HBV core Ab,
,31204-1,Hepatitis B virus core IgM Ab [Presence] in Serum,MICRO,Micro,782,,,,Hepatitis B virus core Ab.IgM,ACnc,Pt,Ser,Ord,,Any,HBV core IgM,
,24113-3,Hepatitis B virus core IgM Ab [Presence] in Serum by Immunoassay,MICRO,Micro,353,,,,Hepatitis B virus core Ab.IgM,ACnc,Pt,Ser,Ord,EIA,Any,HBV core IgM,
,5185-4,Hepatitis B virus core IgM Ab [Units/volume] in Serum by Immunoassay,MICRO,Micro,660,{index},index,,Hepatitis B virus core Ab.IgM,ACnc,Pt,Ser,Qn,EIA,Any,HBV core IgM,
,29615-2,Hepatitis B virus DNA [#/volume] (viral load) in Serum or Plasma by Probe & target amplification method,MICRO,Micro,1112,{copies}/mL,copies/mL,,Hepatitis B virus DNA,NCnc,Pt,Ser/Plas,Qn,Probe.amp.tar,Any,HBV DNA,
,11258-1,Hepatitis B virus DNA [Units/volume] in Serum,MICRO,Micro,1030,[IU]/mL,IU/mL,,Hepatitis B virus DNA,ACnc,Pt,Ser,Qn,,Any,HBV DNA,
,13953-5,Hepatitis B virus e Ab [Presence] in Serum by Immunoassay,MICRO,Micro,787,,,,Hepatitis B virus little e Ab,ACnc,Pt,Ser,Ord,EIA,Any,HBV e Ab,
,31844-4,Hepatitis B virus e Ag [Presence] in Serum,MICRO,Micro,1108,,,,Hepatitis B virus little e Ag,ACnc,Pt,Ser,Ord,,Any,,
,13954-3,Hepatitis B virus e Ag [Presence] in Serum by Immunoassay,MICRO,Micro,804,,,,Hepatitis B virus little e Ag,ACnc,Pt,Ser,Ord,EIA,Any,HBV e Ag,
,5191-2,Hepatitis B virus e Ag [Units/volume] in Serum by Immunoassay,MICRO,Micro,1414,[IU]/mL,IU/mL,,Hepatitis B virus little e Ag,ACnc,Pt,Ser,Qn,EIA,Any,HBV e Ag,
,22322-2,Hepatitis B virus surface Ab [Presence] in Serum,MICRO,Micro,375,,,,Hepatitis B virus surface Ab,ACnc,Pt,Ser,Ord,,Any,HBV S Ab,
,10900-9,Hepatitis B virus surface Ab [Presence] in Serum by Immunoassay,MICRO,Micro,810,,,,Hepatitis B virus surface Ab,ACnc,Pt,Ser,Ord,EIA,Any,HBV S Ab,
,16935-9,Hepatitis B virus surface Ab [Units/volume] in Serum,MICRO,Micro,511,m[IU]/mL,mIU/mL,,Hepatitis B virus surface Ab,ACnc,Pt,Ser,Qn,,Any,HBV S Ab,
,5193-8,Hepatitis B virus surface Ab [Units/volume] in Serum by Immunoassay,MICRO,Micro,512,m[IU]/mL,mIU/mL,,Hepatitis B virus surface Ab,ACnc,Pt,Ser,Qn,EIA,Any,HBV S Ab,
,5194-6,Hepatitis B virus surface Ab [Units/volume] in Serum by Radioimmunoassay (RIA),MICRO,Micro,335,{index},index,,Hepatitis B virus surface Ab,ACnc,Pt,Ser,Qn,RIA,Any,HBV S Ab,
,5195-3,Hepatitis B virus surface Ag [Presence] in Serum,MICRO,Micro,226,,,,Hepatitis B virus surface Ag,ACnc,Pt,Ser,Ord,,Any,HBV S Ag,
,65633-0,Hepatitis B virus surface Ag [Presence] in Serum by Confirmatory method,MICRO,Micro,483,,,"All of the major laboratories whose web sites we explored perform a confirmatory test to verify positive results on their routine HBS Ag EIA test. Some indicate that the confirmatory test requires an extra charge, some do not. As of 2011, the confirmatory test was usually a neutralization test but only one lab that we reviewed specified the method as such. This term covers all confirmatory methods and will not require changing if/when confirmatory methods change.",,,,,,,Any,,
,5196-1,Hepatitis B virus surface Ag [Presence] in Serum by Immunoassay,MICRO,Micro,210,,,,Hepatitis B virus surface Ag,ACnc,Pt,Ser,Ord,EIA,Any,HBV S Ag,
,7905-3,Hepatitis B virus surface Ag [Presence] in Serum by Neutralization test,MICRO,Micro,1424,,,,Hepatitis B virus surface Ag,ACnc,Pt,Ser,Ord,Neut,Any,HBV S Ag (neut),
,47364-5,Hepatitis B virus surface Ag [Presence] in Serum from donor by Immunoassay,MICRO,Micro,1679,,,,Hepatitis B virus surface Ag,ACnc,Pt,Ser^donor,Ord,EIA,Any,HBV S Ag,
,23870-9,Hepatitis C virus 100+5-1-1 Ab [Presence] in Serum by Immunoblot (IB),MICRO,Micro,1873,,,,Hepatitis C virus 100+5-1-1 Ab,ACnc,Pt,Ser,Ord,IB,Any,HCV 100+5-1-1 Ab IB,
,9609-9,Hepatitis C virus 22-3 Ab [Presence] in Serum by Immunoblot (IB),MICRO,Micro,1723,,,,Hepatitis C virus 22-3 Ab,ACnc,Pt,Ser,Ord,IB,Any,HCV 22-3 Ab IB,
,16128-1,Hepatitis C virus Ab [Presence] in Serum,MICRO,Micro,440,,,,Hepatitis C virus Ab,ACnc,Pt,Ser,Ord,,Any,HCV Ab,
,13955-0,Hepatitis C virus Ab [Presence] in Serum by Immunoassay,MICRO,Micro,395,,,,Hepatitis C virus Ab,ACnc,Pt,Ser,Ord,EIA,Any,HCV Ab,
,5199-5,Hepatitis C virus Ab [Presence] in Serum by Immunoblot (IB),MICRO,Micro,844,,,,Hepatitis C virus Ab,ACnc,Pt,Ser,Ord,IB,Any,HCV Ab IB,
,47441-1,Hepatitis C virus Ab [Presence] in Serum from donor,MICRO,Micro,1684,,,,Hepatitis C virus Ab,ACnc,Pt,Ser^donor,Ord,,Any,Hep C Virus donor  Ab,
,5198-7,Hepatitis C virus Ab [Units/volume] in Serum by Immunoassay,MICRO,Micro,239,{index_value},index_value,"NOTE: You may really want to map to [LOINC: 48159-8], signal to cut off ratio (S/CO), which is also included in this table.",Hepatitis C virus Ab,ACnc,Pt,Ser,Qn,EIA,Any,HCV Ab,
,24011-9,Hepatitis C virus Ab band pattern [interpretation] in Serum by Immunoblot (IB),MICRO,Micro,988,,,,Hepatitis C virus Ab band pattern,Imp,Pt,Ser,Nom,IB,Any,HCV band IB,
,51656-7,Hepatitis C virus Ab Signal/Cutoff [Ratio] in Body fluid,MICRO,Micro,280,{ratio},ratio,,Hepatitis C virus Ab Signal/Cutoff,Ratio,Pt,Body fld,Qn,,Any,,
,48159-8,Hepatitis C virus Ab Signal/Cutoff [Ratio] in Serum or Plasma by Immunoassay,MICRO,Micro,322,,,,Hepatitis C virus Ab Signal/Cutoff,Ratio,Pt,Ser/Plas,Qn,EIA,Any,,
,49846-9,Hepatitis C virus Ag [Presence] in Blood or Marrow from donor,MICRO,Micro,1675,,,,Hepatitis C virus Ag,ACnc,Pt,Bld/Bone mar^donor,Ord,,Any,HCV Ag,
,9610-7,Hepatitis C virus c33c Ab [Presence] in Serum by Immunoblot (IB),MICRO,Micro,1722,,,Part of immune blot panel,Hepatitis C virus c33c Ab,ACnc,Pt,Ser,Ord,IB,Any,HCV c33 Ab IB,
,32286-7,Hepatitis C virus genotype [Identifier] in Serum or Plasma by Probe & target amplification method,MICRO,Micro,842,,,,Hepatitis C virus genotype,Prid,Pt,Ser/Plas,Nom,Probe.amp.tar,Any,HCV genotype,
,23871-7,Hepatitis C virus NS5 Ab [Presence] in Serum by Immunoblot (IB),MICRO,Micro,1720,,,Part of immune blot panel,Hepatitis C virus NS5 Ab,ACnc,Pt,Ser,Ord,IB,Any,HCV NS5 Ab IB,
,20416-4,Hepatitis C virus RNA [#/volume] (viral load) in Serum or Plasma by Probe & target amplification method,MICRO,Micro,1769,{copies}/mL,copies/mL,Viral load,Hepatitis C virus RNA,NCnc,Pt,Ser/Plas,Qn,Probe.amp.tar,Any,Hep C Virus RNA,
,47252-2,Hepatitis C virus RNA [Log #/volume] (viral load) in Serum or Plasma by Probe & target amplification method,MICRO,Micro,1771,{log_copies}/mL,log_copies/mL,Viral load,Hepatitis C virus RNA,LnCnc,Pt,Ser/Plas,Qn,Probe.amp.tar,Any,Hep C Virus RNA,
,38180-6,Hepatitis C virus RNA [log units/volume] (viral load) in Serum or Plasma by Probe & target amplification method,MICRO,Micro,741,{log IU}/mL,log IU/mL,Viral load,Hepatitis C virus RNA,LaCnc,Pt,Ser/Plas,Qn,Probe.amp.tar,Any,Hep C Virus RNA,
,11259-9,Hepatitis C virus RNA [Presence] in Serum or Plasma by Probe & target amplification method,MICRO,Micro,740,,,,Hepatitis C virus RNA,ACnc,Pt,Ser/Plas,Ord,Probe.amp.tar,Any,Hep C Virus RNA,
,11011-4,Hepatitis C virus RNA [Units/volume] (viral load) in Serum or Plasma by Probe & target amplification method,MICRO,Micro,531,k[IU]/mL,kIU/mL,,Hepatitis C virus RNA,ACnc,Pt,Ser/Plas,Qn,Probe.amp.tar,Any,Hep C Virus RNA,
,22330-5,Hepatitis D virus Ab [Units/volume] in Serum,MICRO,Micro,712,,,,Hepatitis D virus Ab,ACnc,Pt,Ser,Qn,,Any,HDV Ab,
,16130-7,Herpes simplex virus 1 DNA [Presence] in Unspecified specimen by Probe & target amplification method,MICRO,Micro,1420,,,,Herpes simplex virus 1 DNA,ACnc,Pt,XXX,Ord,Probe.amp.tar,Any,HSV 1 DNA,
,17850-9,Herpes simplex virus 1 IgG Ab [Presence] in Serum,MICRO,Micro,1106,,,,Herpes simplex virus 1 Ab.IgG,ACnc,Pt,Ser,Ord,,Any,HSV1 IgG Ab,
,51916-5,Herpes simplex virus 1 IgG Ab [Presence] in Serum by Immunoassay,MICRO,Micro,1107,,,,Herpes simplex virus 1 Ab.IgG,ACnc,Pt,Ser,Ord,EIA,Any,HSV1 IgG Ab,
,5206-8,Herpes simplex virus 1 IgG Ab [Units/volume] in Serum by Immunoassay,MICRO,Micro,537,{index},index,,Herpes simplex virus 1 Ab.IgG,ACnc,Pt,Ser,Qn,EIA,Any,HSV1 IgG Ab,
,50758-2,Herpes simplex virus 1 IgM Ab [Titer] in Serum by Immunofluorescence,MICRO,Micro,1913,{titer},titer,,Herpes simplex virus 1 Ab.IgM,Titr,Pt,Ser,Qn,IF,Any,HSV1 IgM Ab,
,20444-6,Herpes simplex virus 1+2 DNA [Presence] in Unspecified specimen by Probe & target amplification method,MICRO,Micro,792,,,,Herpes simplex virus 1+2 DNA,ACnc,Pt,XXX,Ord,Probe.amp.tar,Any,HSV 1+2 DNA,
,27948-9,Herpes simplex virus 1+2 IgG Ab [Units/volume] in Serum by Immunoassay,MICRO,Micro,863,{index},index,,Herpes simplex virus 1+2 Ab.IgG,ACnc,Pt,Ser,Qn,EIA,Any,HSV 1+2 IgG Ab,
,41399-7,Herpes simplex virus 1+2 IgM Ab [Units/volume] in Serum by Immunoassay,MICRO,Micro,808,{index},index,,Herpes simplex virus 1+2 Ab.IgM,ACnc,Pt,Ser,Qn,EIA,Any,HSV 1+2 IgM Ab,
,16131-5,Herpes simplex virus 2 DNA [Presence] in Unspecified specimen by Probe & target amplification method,MICRO,Micro,803,,,,Herpes simplex virus 2 DNA,ACnc,Pt,XXX,Ord,Probe.amp.tar,Any,HSV 2 DNA,
,17851-7,Herpes simplex virus 2 IgG Ab [Presence] in Serum,MICRO,Micro,1097,,,,Herpes simplex virus 2 Ab.IgG,ACnc,Pt,Ser,Ord,,Any,HSV 2 IgG Ab,
,43180-9,Herpes simplex virus 2 IgG Ab [Presence] in Serum by Immunoassay,MICRO,Micro,1098,,,,Herpes simplex virus 2 Ab.IgG,ACnc,Pt,Ser,Ord,EIA,Any,HSV 2 IgG Ab,
,5209-2,Herpes simplex virus 2 IgG Ab [Units/volume] in Serum by Immunoassay,MICRO,Micro,452,{index},index,,Herpes simplex virus 2 Ab.IgG,ACnc,Pt,Ser,Qn,EIA,Any,HSV 2 IgG Ab,
